name,email,joined_at
Vincent van Gogh,vangogh@orsaymail.com,2024-11-01T00:00:00Z
Pierre-Auguste Renoir,renoir@orsaymail.com,2024-11-02T00:00:00Z
Edouard Manet,manet@orsaymail.com,2024-11-03T00:00:00Z
Gustave Courbet,courbet@orsaymail.com,2024-11-04T00:00:00Z
Paul Cezanne,cezanne@orsaymail.com,2024-11-05T00:00:00Z
Georges Seurat,seurat@orsaymail.com,2024-11-06T00:00:00Z
Claude Monet,monet@orsaymail.com,2024-11-07T00:00:00Z
Pierre Bonnard,bonnard@orsaymail.com,2024-11-08T00:00:00Z
Edouard Vuillard,vuillard@orsaymail.com,2024-11-09T00:00:00Z
Henri Rousseau,rousseau@orsaymail.com,2024-11-10T00:00:00Z
